timestamp,cpu,gpu
20:46:02,92.1,14
20:46:04,86.4,23
20:46:06,93.1,31
20:46:08,91.4,30
20:46:10,87.1,37
20:46:12,100.0,26
20:46:14,100.0,30
20:46:16,89.6,38
20:46:18,87.3,31
20:46:20,71.3,33
20:46:22,82.3,44
20:46:24,53.3,49
20:46:26,48.7,44
20:46:28,54.4,35
20:46:30,49.2,29
20:46:32,54.9,32
20:46:34,69.3,31
20:46:36,47.9,23
20:46:38,47.9,23
20:46:40,51.6,34
20:46:42,56.7,22
20:46:44,89.2,21
20:46:46,80.2,24
20:46:48,68.1,31
20:46:50,68.1,27
20:46:52,68.6,25
20:46:54,68.5,25
20:46:56,56.5,23
20:46:58,73.1,30
20:47:00,72.1,25
20:47:02,81.7,22
20:47:04,71.5,31
20:47:06,47.6,27
20:47:08,72.1,22
20:47:10,79.5,26
20:47:12,78.8,46
20:47:14,82.0,43
20:47:16,78.8,23
20:47:18,69.8,47
20:47:20,48.4,28
20:47:22,70.1,24
20:47:24,66.3,22
20:47:26,73.9,28
20:47:28,69.1,22
20:47:30,79.3,33
20:47:32,63.0,41
20:47:34,53.9,26
20:47:36,57.5,25
20:47:38,62.2,33
20:47:40,53.3,32
20:47:42,60.6,30
20:47:44,54.1,26
20:47:46,60.4,25
20:47:48,91.0,29
20:47:50,94.1,35
20:47:52,88.8,37
20:47:54,84.2,35
20:47:56,75.1,33
20:47:58,80.0,32
20:48:00,83.9,31
20:48:02,67.6,34
20:48:04,71.4,35
20:48:06,49.8,34
20:48:08,75.2,34
20:48:10,85.0,34
20:48:12,88.8,34
20:48:14,91.2,41
20:48:16,91.1,43
20:48:18,83.7,40
20:48:20,88.8,37
20:48:23,85.8,38
20:48:25,83.9,45
20:48:27,81.0,42
20:48:29,70.4,33
20:48:31,74.1,42
20:48:33,77.4,45
20:48:35,78.1,45
20:48:37,78.8,48
20:48:39,83.8,40
20:48:41,69.2,33
20:48:43,62.8,32
20:48:45,83.9,32
20:48:47,84.1,24
20:48:49,69.8,44
20:48:51,79.7,47
20:48:53,77.1,31
20:48:55,85.6,29
20:48:57,81.5,30
20:48:59,68.7,30
20:49:01,71.8,30
20:49:03,67.2,31
20:49:05,73.1,29
20:49:07,76.5,34
20:49:09,58.4,28
20:49:11,72.2,29
20:49:13,72.6,32
20:49:15,84.3,35
20:49:17,84.5,32
20:49:19,82.5,37
20:49:21,73.9,31
20:49:23,71.2,33
20:49:25,80.0,23
20:49:27,63.3,29
20:49:29,74.2,28
20:49:31,79.5,29
20:49:33,74.0,32
20:49:35,71.9,29
20:49:37,67.2,30
20:49:39,84.6,28
20:49:41,80.4,25
20:49:43,79.0,31
20:49:45,65.7,29
20:49:47,62.2,23
20:49:49,54.7,22
20:49:51,61.3,26
20:49:53,60.3,25
20:49:55,52.0,22
20:49:57,45.6,21
20:49:59,71.9,22
20:50:01,90.4,21
20:50:03,76.3,23
20:50:05,61.9,23
20:50:07,54.7,23
20:50:09,54.1,33
20:50:11,76.5,32
20:50:13,48.4,25
20:50:15,50.8,31
20:50:17,51.1,24
20:50:19,42.5,23
20:50:21,46.9,33
20:50:23,54.6,35
20:50:25,52.4,27
20:50:27,41.7,29
20:50:29,44.2,29
20:50:31,43.8,29
20:50:33,40.3,29
20:50:35,63.7,29
20:50:37,53.1,30
20:50:39,66.3,33
20:50:41,63.7,38
20:50:43,60.6,37
20:50:45,48.2,36
20:50:47,72.3,32
20:50:49,68.1,37
20:50:51,64.0,33
20:50:53,42.4,34
20:50:55,59.0,35
20:50:57,48.7,25
20:50:59,54.6,30
20:51:01,57.7,33
20:51:03,53.2,33
20:51:05,61.3,33
20:51:07,42.3,32
20:51:09,45.6,33
20:51:11,45.1,33
20:51:13,46.7,29
20:51:15,56.9,30
20:51:17,45.7,23
20:51:19,64.2,35
20:51:21,50.4,34
20:51:23,46.8,30
20:51:25,53.9,33
20:51:27,43.8,36
20:51:29,55.5,37
20:51:31,49.0,36
20:51:33,47.7,34
20:51:35,50.7,23
20:51:37,50.1,25
20:51:39,49.4,26
20:51:41,40.6,25
20:51:43,56.2,25
20:51:45,46.6,28
20:51:47,56.8,22
20:51:49,53.3,28
20:51:51,50.5,25
20:51:53,49.8,23
20:51:55,58.8,22
20:51:57,53.3,25
20:51:59,60.0,20
20:52:01,46.7,27
20:52:03,75.6,35
20:52:05,76.2,24
20:52:07,73.1,35
20:52:09,71.3,31
20:52:11,42.2,29
20:52:13,66.3,27
20:52:15,51.3,32
20:52:17,61.8,27
20:52:19,50.6,32
20:52:21,51.0,32
20:52:23,57.4,33
20:52:25,49.6,28
20:52:27,63.0,30
20:52:29,71.8,34
20:52:31,69.6,48
20:52:33,65.1,50
20:52:35,75.4,50
20:52:37,65.5,49
20:52:39,70.7,47
20:52:41,72.7,49
20:52:43,80.1,48
20:52:45,51.8,30
20:52:47,52.7,29
20:52:49,67.9,27
20:52:51,47.8,24
20:52:53,64.4,29
20:52:55,63.1,30
20:52:57,55.1,28
20:52:59,51.9,24
20:53:01,57.5,29
20:53:03,56.6,23
20:53:05,61.0,28
20:53:07,54.7,28
20:53:09,53.2,33
20:53:11,68.8,36
20:53:13,72.1,37
20:53:15,64.4,36
20:53:17,79.2,34
20:53:19,50.8,39
20:53:21,49.5,39
20:53:23,61.3,36
20:53:25,59.8,37
20:53:27,61.6,45
20:53:29,67.7,44
20:53:31,56.9,46
20:53:33,69.3,44
20:53:35,79.4,46
20:53:37,70.9,47
20:53:39,62.6,44
20:53:41,87.9,38
20:53:43,58.8,37
20:53:45,57.3,39
20:53:47,57.4,38
20:53:49,49.5,33
20:53:51,61.8,29
20:53:53,48.9,38
20:53:55,75.5,34
20:53:57,71.7,27
20:53:59,62.8,34
20:54:01,48.0,31
20:54:03,59.0,38
20:54:05,69.2,35
20:54:07,67.0,36
20:54:09,58.0,38
20:54:11,71.9,40
20:54:13,69.1,31
20:54:15,64.5,28
20:54:17,58.5,28
20:54:19,44.5,28
20:54:21,47.9,31
20:54:23,45.2,31
20:54:25,67.0,32
20:54:27,72.5,35
20:54:29,83.8,30
20:54:31,71.4,34
20:54:33,58.8,35
20:54:35,62.0,38
20:54:37,75.0,38
20:54:39,52.1,34
20:54:41,59.5,35
20:54:43,52.9,35
20:54:45,62.0,35
20:54:47,45.5,33
20:54:49,59.9,33
20:54:51,52.8,34
20:54:53,62.2,34
20:54:55,57.8,23
20:54:57,59.1,21
20:54:59,79.0,33
20:55:01,84.0,30
20:55:03,78.1,30
20:55:05,79.5,32
20:55:07,81.8,32
20:55:09,72.8,27
20:55:11,66.1,39
20:55:13,53.5,39
20:55:15,75.0,28
20:55:17,73.4,31
20:55:19,83.8,32
20:55:21,66.5,32
20:55:23,70.4,42
20:55:25,60.8,34
20:55:27,57.3,32
20:55:29,56.8,32
20:55:31,65.3,28
20:55:33,67.7,33
20:55:35,53.8,34
20:55:37,73.5,35
20:55:39,50.9,36
20:55:41,75.0,33
20:55:43,69.1,35
20:55:45,67.4,33
20:55:48,50.7,34
20:55:50,67.8,34
20:55:52,69.5,30
20:55:54,61.8,32
20:55:56,51.6,32
20:55:58,52.0,35
20:56:00,56.1,27
20:56:02,97.6,27
20:56:04,72.6,30
20:56:06,73.0,31
20:56:08,73.7,51
20:56:10,68.3,57
20:56:12,74.5,60
20:56:14,79.8,60
20:56:16,74.7,65
20:56:18,67.0,63
20:56:20,76.8,53
20:56:22,86.6,39
20:56:24,71.3,42
20:56:26,69.3,36
20:56:28,58.0,38
20:56:30,54.4,37
20:56:32,61.5,36
20:56:34,49.2,35
20:56:36,66.5,36
20:56:38,50.9,30
20:56:40,63.7,34
20:56:42,46.7,44
20:56:44,49.6,41
20:56:46,53.4,39
20:56:48,66.9,38
20:56:50,64.9,34
20:56:52,46.9,36
20:56:54,57.1,32
20:56:56,58.3,29
20:56:58,47.4,33
20:57:00,55.4,31
20:57:02,68.1,26
20:57:04,87.3,33
20:57:06,49.0,31
20:57:08,53.8,39
20:57:10,53.9,38
20:57:12,48.7,35
20:57:14,57.9,36
20:57:16,57.0,27
20:57:18,66.7,40
20:57:20,63.8,30
20:57:22,58.0,27
20:57:24,64.3,30
20:57:26,75.5,31
20:57:28,71.8,34
20:57:30,64.0,29
20:57:32,69.4,27
20:57:34,47.1,23
20:57:36,60.3,25
20:57:38,48.5,26
20:57:40,54.6,26
20:57:42,50.8,24
20:57:44,58.9,27
20:57:46,58.9,27
20:57:48,68.2,29
